Crash Date/Time
1/3/2024 14:55
12/16/2023 12:36
12/29/2023 12:00
11/5/2023 21:07
11/18/2023 0:40
12/29/2023 12:00
12/17/2023 17:43
11/10/2023 14:04
12/22/2023 13:00
12/12/2023 5:00
12/26/2023 23:05
12/22/2023 13:00
1/3/2024 14:55
12/12/2023 20:20
12/24/2023 20:00
12/12/2023 20:20
12/24/2023 20:00
12/21/2023 0:00
12/21/2023 0:00
11/3/2023 22:30
10/28/2023 12:15
5/31/2019 15:00
5/24/2019 17:00
7/17/2023 10:45
7/20/2023 23:40
7/13/2023 17:40
7/23/2023 15:55
7/8/2023 17:51
7/21/2023 17:59
7/20/2023 15:10
7/23/2023 12:10
7/24/2023 6:10
7/11/2023 7:40
7/12/2023 20:28
7/5/2023 23:25
7/21/2023 7:14
7/19/2023 19:00
7/20/2023 17:00
7/20/2023 15:10
6/24/2023 12:39
6/19/2023 22:19
7/10/2023 15:26
7/17/2023 8:50
7/25/2023 10:12
7/21/2023 1:15
7/18/2023 8:45
7/23/2023 18:00
7/21/2023 17:05
7/17/2023 17:10
7/27/2023 15:41
7/24/2023 16:45
7/21/2023 14:30
7/22/2023 15:39
7/20/2023 7:30
7/14/2023 14:22
7/26/2023 0:57
7/20/2023 9:25
7/21/2023 17:59
7/21/2023 11:53
7/23/2023 3:30
7/22/2023 6:28
7/20/2023 18:01
7/23/2023 12:10
7/21/2023 15:50
7/20/2023 9:25
7/13/2023 18:25
7/4/2023 15:55
7/20/2023 14:48
7/18/2023 16:20
7/18/2023 14:10
7/22/2023 15:39
7/19/2023 20:05
7/23/2023 17:03
7/19/2023 12:19
7/23/2023 5:41
7/16/2023 0:15
7/27/2023 16:14
7/22/2023 17:10
7/15/2023 10:47
7/19/2023 12:13
7/17/2023 10:45
6/19/2023 22:19
7/26/2023 0:57
7/24/2023 6:10
7/20/2023 12:53
7/21/2023 18:29
5/21/2023 15:04
7/22/2023 4:07
7/25/2023 21:57
7/22/2023 14:05
7/26/2023 9:15
7/21/2023 14:26
7/19/2023 7:30
6/4/2023 20:45
7/23/2023 18:00
7/16/2023 4:15
5/21/2023 16:22
7/13/2023 0:26
7/22/2023 16:47
7/22/2023 15:49
7/23/2023 3:30
7/22/2023 15:40
7/24/2023 14:58
7/19/2023 16:35
7/25/2023 13:12
7/22/2023 17:22
7/13/2023 15:52
7/16/2023 16:40
7/23/2023 18:00
7/21/2023 7:14
7/20/2023 9:10
7/24/2023 16:45
6/24/2023 22:10
7/22/2023 4:07
7/26/2023 16:35
7/20/2023 14:48
7/24/2023 10:52
7/24/2023 12:39
7/20/2023 12:25
7/25/2023 22:02
7/13/2023 18:25
7/24/2023 18:56
7/25/2023 14:00
7/23/2023 16:32
7/17/2023 16:19
7/21/2023 18:20
5/9/2023 20:53
7/24/2023 17:29
7/24/2023 13:52
7/19/2023 21:59
7/17/2023 16:19
7/26/2023 12:47
7/27/2023 16:14
5/20/2023 13:35
7/25/2023 17:59
7/24/2023 6:25
7/20/2023 21:38
7/22/2023 17:36
7/16/2023 16:40
7/24/2023 8:32
7/24/2023 8:32
7/20/2023 16:52
7/22/2023 15:40
7/26/2023 12:47
7/26/2023 20:45
7/21/2023 5:25
7/20/2023 23:40
7/27/2023 14:07
7/26/2023 9:25
7/26/2023 16:45
7/21/2023 12:09
7/24/2023 6:25
7/24/2023 7:37
7/24/2023 16:25
7/10/2023 17:06
7/21/2023 13:43
7/22/2023 17:22
7/27/2023 14:07
7/13/2023 15:52
7/25/2023 17:32
7/21/2023 12:48
7/23/2023 16:32
7/21/2023 12:02
7/19/2023 14:32
7/15/2023 10:47
7/21/2023 12:09
7/22/2023 23:00
